Date,AAPL,GOOG,MSFT,AMZN,
03-01-05,0.968976,100.976517,19.037546,44.52,
04-01-05,0.978928,96.886841,19.108746,42.139999,
05-01-05,0.987502,96.393692,19.066029,41.77,
06-01-05,0.988267,93.922951,19.04467,41.049999,
07-01-05,1.060224,96.563057,18.98772,42.32,
10-01-05,1.055784,97.165802,19.080269,41.84,
11-01-05,0.988419,96.408638,19.030432,41.639999,
12-01-05,1.002199,97.325203,19.066029,42.299999,
13-01-05,1.068645,97.300293,18.70293,42.599998,
14-01-05,1.074768,99.611633,18.596142,44.549999,
18-01-05,1.081658,101.56929,18.738531,44.580002,
19-01-05,1.069869,98.281616,18.496468,43.959999,
20-01-05,1.078749,96.597923,18.411039,42.360001,
21-01-05,1.079208,93.78846,18.261524,41.16,
24-01-05,1.083341,90.022575,18.275764,40.380001,
25-01-05,1.103092,88.229294,18.52495,40.939999,
26-01-05,1.106155,94.266663,18.51783,41.34,
27-01-05,1.112125,93.688828,18.58902,42.310001,
28-01-05,1.13264,94.814613,18.638861,42.220001,
31-01-05,1.177346,97.444756,18.710058,43.220001,
01-02-05,1.186991,95.591698,18.788363,42.48,
02-02-05,1.219142,102.595444,18.838198,41.880001,
03-02-05,1.191278,105.036301,18.638861,35.75,
04-02-05,1.207047,101.798431,18.738531,35.720001,
07-02-05,1.208579,97.648987,18.624622,35.689999,
08-02-05,1.238587,98.949112,18.681576,36.299999,
09-02-05,1.205516,95.432297,18.560549,35.889999,
10-02-05,1.199699,93.639015,18.553425,35.779999,
11-02-05,1.243333,93.350098,18.489353,35.779999,
14-02-05,1.295693,96.134666,18.51783,36.029999,
15-02-05,1.353565,97.250481,18.517834,36.139999,
16-02-05,1.379898,98.834541,18.417847,35.66,
17-02-05,1.344379,98.580498,18.317863,35.689999,
18-02-05,1.329069,98.6054,18.196459,35.310001,
22-02-05,1.305798,95.32769,18.01792,34.720001,
23-02-05,1.35081,96.612869,17.996494,34.139999,
24-02-05,1.361527,94.092316,18.117907,34.689999,
25-02-05,1.362445,92.587959,18.032211,34.990002,
28-02-05,1.373622,93.643997,17.967934,35.18,
01-03-05,1.362598,92.682602,18.053631,35.389999,
02-03-05,1.350962,92.244247,18.039354,35.5,
03-03-05,1.279618,93.15583,17.975067,35.650002,
04-03-05,1.31085,92.602905,17.975067,35.849998,
07-03-05,1.309013,94.052467,18.189316,36.32,
08-03-05,1.241036,92.254211,18.13933,35.830002,
09-03-05,1.204904,90.336395,18.075058,35.400002,
10-03-05,1.219602,89.653954,18.160746,34.91,
11-03-05,1.233074,88.568024,17.917942,34.75,
14-03-05,1.234606,87.168274,17.932234,34.599998,
15-03-05,1.254202,88.971512,17.789396,34.18,
16-03-05,1.260939,87.47213,17.589439,33.869999,
17-03-05,1.293703,89.310242,17.52516,33.970001,
18-03-05,1.315443,89.683846,17.360899,34.16,
21-03-05,1.338102,90.102272,17.282347,33.669998,
22-03-05,1.311463,88.96653,17.132383,33.150002,
23-03-05,1.302889,89.155823,17.26807,33.18,
24-03-05,1.301357,89.290321,17.339481,32.880001,
28-03-05,1.302277,90.371269,17.282347,33.389999,
29-03-05,1.278392,89.449722,17.082392,33.43,
30-03-05,1.310543,89.888077,17.253786,34.32,
31-03-05,1.275943,89.917969,17.260925,34.27,
01-04-05,1.252059,89.683846,17.22522,34.009998,
04-04-05,1.258183,92.299042,17.303766,35,
05-04-05,1.282679,93.932915,17.475168,35.279999,
06-04-05,1.296153,94.256706,17.618006,34.82,
07-04-05,1.333815,96.518227,17.925089,34.900002,
08-04-05,1.339327,95.66642,17.810822,34.599998,
11-04-05,1.283598,96.254219,17.832245,34.599998,
12-04-05,1.306257,96.617851,18.082195,34.630001,
13-04-05,1.256652,96.104774,17.882238,34.299999,
14-04-05,1.140908,95.367538,17.73941,33.970001,
15-04-05,1.082423,92.154579,17.468033,33.02,
18-04-05,1.090691,93.135902,17.603716,33,
19-04-05,1.135703,95.342628,17.589439,32.779999,
20-04-05,1.087322,98.680122,17.368048,33.25,
21-04-05,1.138458,101.728699,18.053631,33.73,
22-04-05,1.087016,107.502052,17.839396,33.040001,
25-04-05,1.132334,111.347641,17.846527,33.529999,
26-04-05,1.108144,108.966568,17.682278,32.709999,
27-04-05,1.100796,109.479645,17.846527,31.719999,
28-04-05,1.088241,109.315262,17.460886,32.52,
29-04-05,1.104163,109.589233,18.067907,32.360001,
02-05-05,1.115493,110.729958,18.01792,33.099998,
03-05-05,1.108757,112.672676,18.110758,33.209999,
04-05-05,1.13754,113.823364,18.003639,33.959999,
05-05-05,1.123148,113.0662,18.01792,33.959999,
06-05-05,1.140296,113.584259,18.010782,34.52,
09-05-05,1.132028,112.58799,17.932234,34.639999,
10-05-05,1.115187,113.47467,17.782253,34.23,
11-05-05,1.090385,115.21315,17.789396,33.82,
12-05-05,1.045067,113.932953,17.853666,33.849998,
13-05-05,1.064664,114.191978,18.067907,33.900002,
16-05-05,1.088547,115.093597,18.261343,34.540001,
17-05-05,1.082729,116.129715,18.239843,34.73,
18-05-05,1.097428,119.133461,18.411791,35.330002,
19-05-05,1.149787,119.143417,18.569401,35.59,
20-05-05,1.149787,120.353882,18.440443,35.5,
23-05-05,1.217458,127.248039,18.519257,35.68,
24-05-05,1.215621,127.522018,18.447607,35.540001,
25-05-05,1.218071,129.91803,18.418957,35.25,
26-05-05,1.247467,129.116043,18.555071,35.450001,
27-05-05,1.241954,132.503342,18.676863,35.5,
31-05-05,1.217458,138.11731,18.483425,35.509998,
01-06-05,1.233994,143.462265,18.490589,36.5,
02-06-05,1.226032,143.41246,18.476269,36.41,
03-06-05,1.170915,139.60672,18.218357,35.59,
06-06-05,1.161117,144.926773,18.175375,35.77,
07-06-05,1.118862,146.012711,18.275665,35.349998,
08-06-05,1.130497,139.258026,18.196871,34.830002,
09-06-05,1.15285,142.620422,18.275665,35.200001,
10-06-05,1.096509,140.722534,18.218357,34.950001,
13-06-05,1.099265,140.847076,18.132389,34.869999,
14-06-05,1.102327,138.655289,18.168213,35.040001,
15-06-05,1.136927,136.886917,18.096567,35.240002,
16-06-05,1.162955,138.201981,17.938959,35.580002,
17-06-05,1.173059,139.626648,17.938959,35.310001,
20-06-05,1.151625,142.814697,17.989115,35.689999,
21-06-05,1.159281,143.382568,18.017763,35.380001,
22-06-05,1.180409,144.109848,17.960453,35.220001,
23-06-05,1.190819,144.314072,18.132389,35.43,
24-06-05,1.156218,148.069992,17.938959,35.02,
27-06-05,1.136009,151.482208,17.946117,34.5,
28-06-05,1.142439,150.436127,17.960453,33.709999,
29-06-05,1.113656,145.813461,17.974781,33.349998,
30-06-05,1.127129,146.525787,17.795675,33.09,
01-07-05,1.117636,145.081207,17.702543,32.91,
05-07-05,1.162955,147.302872,17.895977,34.080002,
06-07-05,1.144889,145.215698,17.695381,34.060001,
07-07-05,1.152238,147.218185,17.659561,33.959999,
08-07-05,1.171222,147.561905,17.974781,34.740002,
11-07-05,1.166629,146.127274,18.118055,35.59,
12-07-05,1.170915,145.345215,18.347313,36.310001,
13-07-05,1.174284,148.871994,18.383133,36.509998,
14-07-05,1.247772,149.883194,18.605221,37.189999,
15-07-05,1.272269,150.032639,18.476269,37.150002,
18-07-05,1.270432,149.210724,18.304329,37.189999,
19-07-05,1.322486,154.371384,18.741341,38.169998,
20-07-05,1.335958,155.41745,18.762835,38.169998,
21-07-05,1.325547,156.383835,18.941936,37.950001,
22-07-05,1.347288,150.635376,18.397461,37.950001,
25-07-05,1.34147,147.372604,18.404629,37.950001,
26-07-05,1.335958,147.492157,18.297163,37.740002,
27-07-05,1.346981,147.910599,18.426119,43.650002,
28-07-05,1.341164,146.201996,18.447607,45.68,
29-07-05,1.30595,143.342712,18.347313,45.150002,
01-08-05,1.309013,145.260529,18.569401,44.93,
02-08-05,1.322486,149.036377,19.207008,46.509998,
03-08-05,1.323404,148.09491,19.522236,46.110001,
04-08-05,1.307788,148.309097,19.572378,45.459999,
05-08-05,1.316361,145.62915,19.887596,45.27,
08-08-05,1.30595,145.081207,19.43626,45.66,
09-08-05,1.341776,145.240601,19.593876,45.93,
10-08-05,1.328304,142.306595,19.307308,44.759998,
11-08-05,1.347288,141.494644,19.536556,45.209999,
12-08-05,1.411591,144.319061,19.378942,44.200001,
15-08-05,1.45997,141.469742,19.493921,45.040001,
16-08-05,1.416184,142.291656,19.21368,44.27,
17-08-05,1.443742,142.017685,19.364576,44.119999,
18-08-05,1.417714,139.472229,19.271164,43.73,
19-08-05,1.403324,139.477203,19.199314,43.720001,
22-08-05,1.404547,136.493393,19.335833,43.77,
23-08-05,1.400567,139.26799,19.307095,43.419998,
24-08-05,1.401486,140.757401,19.263977,42.369999,
25-08-05,1.410365,140.767365,19.42206,42.310001,
26-08-05,1.400567,141.260529,19.378942,42.369999,
29-08-05,1.403629,143.686432,19.508287,42.790001,
30-08-05,1.425981,143.098633,19.52984,42.490002,
31-08-05,1.435781,142.466003,19.673548,42.700001,
01-09-05,1.41649,142.59053,19.544205,41.84,
02-09-05,1.415265,143.686432,19.414871,41.509998,
06-09-05,1.494265,143.018936,19.400499,43.619999,
07-09-05,1.49059,146.884445,19.292715,43.73,
08-09-05,1.524272,147.143463,19.120277,42.959999,
09-09-05,1.571122,148.986557,19.098719,42.950001,
12-09-05,1.573877,154.291672,19.120277,44.5,
13-09-05,1.556118,155.258057,19.026865,43.93,
14-09-05,1.519068,150.934265,18.904718,43.099998,
15-09-05,1.527028,150.744965,18.875971,42.709999,
16-09-05,1.56806,149.53949,18.732262,42.799999,
19-09-05,1.611846,151.327789,18.681965,42.75,
20-09-05,1.628688,153.380096,18.566994,41.869999,
21-09-05,1.595617,155.367645,18.315517,41.25,
22-09-05,1.589187,155.103638,18.207735,42.080002,
23-09-05,1.628994,157.091187,18.157434,42.189999,
26-09-05,1.64859,156.553207,18.157434,43.34,
27-09-05,1.636342,156.383835,18.207735,43.16,
28-09-05,1.564079,152.428665,18.444847,43.369999,
29-09-05,1.602661,154.231903,18.638855,44.790001,
30-09-05,1.641549,157.63913,18.487967,45.299999,
03-10-05,1.666963,158.74498,18.322701,46.009998,
04-10-05,1.645835,154.919327,17.94906,44.93,
05-10-05,1.616133,154.774872,17.726318,44.490002,
06-10-05,1.583064,155.791061,17.769423,44.009998,
07-10-05,1.570816,155.910614,17.668833,43.720001,
10-10-05,1.542339,154.74498,17.575411,43.759998,
11-10-05,1.579695,152.47847,17.539495,43.400002,
12-10-05,1.508044,149.92305,17.460453,42.549999,
13-10-05,1.645529,148.164642,17.668833,42.619999,
14-10-05,1.653489,147.517075,17.726318,43.790001,
17-10-05,1.636342,151.930527,17.625713,45.02,
18-10-05,1.59868,151.073746,17.654455,44.650002,
19-10-05,1.682273,153.773621,18.028093,45.860001,
20-10-05,1.719017,151.03389,17.812538,45.009998,
21-10-05,1.704319,169.315369,17.805361,45.950001,
24-10-05,1.73892,173.674026,18.035276,46.93,
25-10-05,1.717792,172.807281,17.984985,46.169998,
26-10-05,1.746269,177.056351,18.042467,39.75,
27-10-05,1.696665,175.870789,17.85565,39.060001,
28-10-05,1.667881,178.416245,18.344255,38.950001,
31-10-05,1.763416,185.375168,18.466406,39.860001,
01-11-05,1.76066,188.981644,18.653225,40.369999,
02-11-05,1.83568,189.131088,19.012491,40.75,
03-11-05,1.893859,192.254379,18.998123,41.560001,
04-11-05,1.872425,194.486023,19.156197,41.09,
07-11-05,1.844253,196.777435,19.407684,41.389999,
08-11-05,1.834149,194.222015,19.436422,41.950001,
09-11-05,1.84058,188.867081,19.371759,41.400002,
10-11-05,1.873343,194.819763,19.465168,42.18,
11-11-05,1.884366,194.471069,19.60169,42.68,
14-11-05,1.881611,197.743805,19.666365,42.529999,
15-11-05,1.907025,195.666595,19.817692,44.450001,
16-11-05,1.98878,198.331604,19.990648,45.299999,
17-11-05,1.975614,200.97171,20.156391,46.740002,
18-11-05,1.976839,199.357758,20.228462,47.98,
21-11-05,1.989087,203.91568,20.29332,47.990002,
22-11-05,2.036855,207.457397,20.113161,48.849998,
23-11-05,2.054921,210.640472,20.120367,48.240002,
25-11-05,2.123204,213.50972,20.005058,48.060001,
28-11-05,2.133002,210.94931,19.997858,48.349998,
29-11-05,2.085234,201.016541,19.947407,48.549999,
30-11-05,2.076661,201.69899,19.947407,48.459999,
01-12-05,2.192405,206.271835,20.098755,49,
02-12-05,2.223944,208.070099,20.185221,49.060001,
05-12-05,2.199142,202.167221,20.069921,48.830002,
06-12-05,2.267425,201.514679,19.954628,49.259998,
07-12-05,2.264362,201.35527,19.997858,48.830002,
08-12-05,2.268343,204.558258,19.954628,48.349998,
09-12-05,2.275999,203.835968,19.96903,48.740002,
12-12-05,2.293758,205.534607,19.781664,49.07,
13-12-05,2.295901,207.9655,19.551058,49.5,
14-12-05,2.204959,208.697754,19.522234,49.41,
15-12-05,2.210165,210.486053,19.399729,49.48,
16-12-05,2.177402,214.271851,19.385311,49.209999,
19-12-05,2.185669,211.507217,19.334866,48.369999,
20-12-05,2.208021,214.067627,19.356487,48.139999,
21-12-05,2.250583,212.368988,19.262796,48.970001,
22-12-05,2.266505,215.213333,19.161921,49.220001,
23-12-05,2.245991,214.6604,19.197945,49.220001,
27-12-05,2.272936,211.527145,19.06822,48.560001,
28-12-05,2.252727,212.548325,19.017784,48.060001,
29-12-05,2.187812,209.290527,18.931303,47.990002,
30-12-05,2.201285,206.655411,18.844828,47.150002,
03-01-06,2.288858,216.802368,19.342068,47.580002,
04-01-06,2.295595,221.788681,19.435753,47.25,
05-01-06,2.277529,224.777481,19.450167,47.650002,
06-01-06,2.33632,231.960556,19.392519,47.869999,
09-01-06,2.328664,232.578247,19.356487,47.080002,
10-01-06,2.475948,234.002899,19.457375,45.650002,
11-01-06,2.569034,234.934402,19.666363,44.93,
12-01-06,2.580975,230.949341,19.558262,44.360001,
13-01-06,2.620782,232.254456,19.594301,44.400002,
17-01-06,2.593836,232.682846,19.450167,44,
18-01-06,2.525859,221.624298,19.334866,44.32,
19-01-06,2.420219,217.410095,19.471786,44.450001,
20-01-06,2.32989,198.984161,19.032194,43.919998,
23-01-06,2.37827,212.951797,18.988956,43.73,
24-01-06,2.328358,220.687805,18.938509,44.02,
25-01-06,2.272018,215.691528,19.024992,43.599998,
26-01-06,2.214758,216.324158,19.097059,44.68,
27-01-06,2.205572,215.935623,20.026686,45.220001,
30-01-06,2.296513,212.613068,20.178019,44.959999,
31-01-06,2.31213,215.522171,20.286114,44.82,
01-02-06,2.309373,200.139832,20.206842,43.98,
02-02-06,2.207716,197.280548,19.947407,42.740002,
03-02-06,2.200059,190.062592,19.846521,38.330002,
06-02-06,2.060738,191.830963,19.579887,37.950001,
07-02-06,2.069924,183.273041,19.414135,37.52,
08-02-06,2.106975,183.850876,19.392519,38.169998,
09-02-06,1.98878,178.715134,19.212355,37.990002,
10-02-06,2.061046,180.62796,19.233978,38.52,
13-02-06,1.981432,172.204529,19.017784,37.860001,
14-02-06,2.07115,171.018982,19.205154,38.25,
15-02-06,2.119529,170.550735,19.436533,39.259998,
16-02-06,2.160866,182.545776,19.385914,39.150002,
17-02-06,2.152292,183.686493,19.306385,39.189999,
21-02-06,2.115242,182.610535,19.190678,38.290001,
22-02-06,2.183831,182.062592,19.320841,38.720001,
23-02-06,2.196998,188.329102,19.277454,37.900002,
24-02-06,2.188118,187.995346,19.255758,38.349998,
27-02-06,2.173726,194.461105,19.55946,38.009998,
28-02-06,2.097176,180.63295,19.42931,37.439999,
01-03-06,2.115854,181.718872,19.624537,37.119999,
02-03-06,2.131471,187.522125,19.501614,36.880001,
03-03-06,2.073598,188.383896,19.472685,37.209999,
06-03-06,2.005009,183.362717,19.458231,36.860001,
07-03-06,2.030424,181.544525,19.566692,36.93,
08-03-06,2.010521,176.279266,19.704079,36.810001,
09-03-06,1.957548,170.859573,19.523308,36.119999,
10-03-06,1.93489,168.119843,19.646236,36.220001,
13-03-06,2.011134,167.900665,19.602844,36.189999,
14-03-06,2.061351,174.924347,19.689613,36.91,
15-03-06,2.027975,171.606781,19.783617,36.889999,
16-03-06,1.969184,168.752472,19.718546,36.77,
17-03-06,1.979902,169.260574,19.884844,35.990002,
20-03-06,1.959386,173.444885,20.166862,36.23,
21-03-06,1.892634,169.325333,20.058386,35.919998,
22-03-06,1.888347,169.474762,19.631771,36,
23-03-06,1.84211,170.306656,19.414841,35.68,
24-03-06,1.835986,182.21701,19.530535,35.470001,
27-03-06,1.822207,184.154739,19.530535,35.25,
28-03-06,1.797711,187.895721,19.450998,35.689999,
29-03-06,1.908555,196.752518,19.537771,36.32,
30-03-06,1.921416,193.494736,19.689613,36.669998,
31-03-06,1.920498,194.27182,19.675161,36.529999,
03-04-06,1.918355,194.122375,19.92824,36.139999,
04-04-06,1.873037,201.415054,19.986086,36.77,
05-04-06,2.057982,203.233231,20.058386,37.34,
06-04-06,2.181383,204.822281,19.92824,38.509998,
07-04-06,2.136982,202.321655,19.704079,37.09,
10-04-06,2.102688,207.412567,19.733004,36.610001,
11-04-06,2.081866,204.065109,19.617308,36.060001,
12-04-06,2.042673,203.711441,19.667919,36.130001,
13-04-06,2.035324,200.329117,19.573923,36.619999,
17-04-06,1.984494,202.650421,19.40761,35.27,
18-04-06,2.027668,201.365234,19.682384,36.279999,
19-04-06,2.010215,204.483551,19.544991,36.889999,
20-04-06,2.070843,206.725143,19.544991,36.34,
21-04-06,2.052777,217.733887,19.631771,36.029999,
24-04-06,2.013277,219.427536,19.602844,35.790001,
25-04-06,2.026138,212.78244,19.602844,35.549999,
26-04-06,2.086766,212.189667,19.595613,35.790001,
27-04-06,2.123816,209.230759,19.704079,35.740002,
28-04-06,2.155354,208.189651,17.462505,35.209999,
01-05-06,2.131165,198.7052,17.563745,34.59,
02-05-06,2.193018,196.662857,17.361286,34.380001,
03-05-06,2.178319,196.34903,16.753889,33.959999,
04-05-06,2.178014,196.637955,16.949123,34.470001,
05-05-06,2.201285,196.413788,17.209436,35.040001,
08-05-06,2.201285,196.652893,17.158815,34.689999,
09-05-06,2.174953,203.636719,17.079283,34.84,
10-05-06,2.161785,200.737579,17.187738,34.16,
11-05-06,2.086766,192.77742,16.790047,33.529999,
12-05-06,2.072987,186.366455,16.753889,32.73,
15-05-06,2.075742,187.397583,16.804701,32.779999,
16-05-06,1.989699,184.956741,16.703075,32.759998,
17-05-06,1.998273,186.550766,16.499821,31.610001,
18-05-06,1.934584,184.802322,16.572416,32.610001,
